K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:
K18080	TNS2 	tensin
K18081	MTMR1 	myotubularin-related protein 1/2 [EC:
K18082	MTMR3 	myotubularin-related protein 3/4 [EC:
K18083	MTMR8 	myotubularin-related protein 6/7/8 [EC:
K18084	MTMR9	myotubularin-related protein 9
K18085	MTMR11 	myotubularin-related protein 10/11/12
K18086	MTMR14	myotubularin-related protein 14 [EC:
K18087	bphAc, bphA3, bphF	biphenyl 2,3-dioxygenase ferredoxin component
K18088	bphAd, bphA4, bphG	biphenyl 2,3-dioxygenase ferredoxin reductase component [EC:
K18089	todB, tcbAc	benzene/toluene/chlorobenzene dioxygenase ferredoxin component
K18090	todA, tcbAd	benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:
K18091	pntE, penE, ptlE	pentalenolactone D synthase [EC:
K18092	etbD	2-hydroxy-6-oxo-octa-2,4-dienoate hydrolase [EC:3.7.1.-]
K18093	oprD	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
K18094	mexX, amrA	membrane fusion protein, multidrug efflux system
K18095	mexY, amrB	multidrug efflux pump
K18096	bjaI, rpaI, braI, rhiI	acyl-homoserine lactone synthase [EC:
K18097	GCY1	glycerol 2-dehydrogenase (NADP+) [EC:
K18098	bjaR1, rpaR, rhiR	LuxR family transcriptional regulator, quorum-sensing system regulator BjaR1
K18099	rhlR, phzR	LuxR family transcriptional regulator, quorum-sensing system regulator RhlR
K18100	rhlA	rhamnosyltransferase subunit A [EC:2.4.1.-]
K18101	rhlB	rhamnosyltransferase subunit B [EC:2.4.1.-]
K18102	GAAB, LGD1	L-galactonate dehydratase [EC:
K18103	GAAC, LGA1	L-threo-3-deoxy-hexylosonate aldolase [EC:
K18104	abcA, bmrA	ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:
K18105	rtcA	RNA 3'-terminal phosphate cyclase (GTP) [EC:
K18106	GAAA	D-galacturonate reductase [EC:1.1.1.-]
K18107	GAAD	L-glyceraldehyde reductase [EC:
K18108	E4.2.3.111	(-)-alpha-terpineol synthase [EC:
K18109	np1	5-epi-alpha-selinene synthase [EC:
K18110	tpc1	avermitilol synthase [EC:
K18111	gcoA	(+)-beta-caryophyllene/(+)-caryolan-1-ol synthase [EC:
K18112	MTPSL26	(E)-2-epi-beta-caryophyllene synthase [EC:
K18113	MDS	miltiradiene synthase / copalyl diphosphate synthase [EC:
K18114	NDPS1	dimethylallylcistransferase [EC:
K18115	sqhC	sporulenol synthase [EC:
K18116	E4.2.3.51, PHS1	beta-phellandrene synthase (neryl-diphosphate-cyclizing) [EC:
K18117	TPS31	viridiflorene synthase [EC:
K18118	aarC, cat1	succinyl-CoA:acetate CoA-transferase [EC:
K18119	sucD	succinate-semialdehyde dehydrogenase [EC:
K18120	4hbD, abfH	4-hydroxybutyrate dehydrogenase [EC:
K18121	GLYR	glyoxylate/succinic semialdehyde reductase [EC:
K18122	cat2, abfT	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
K18123	HOGA1	4-hydroxy-2-oxoglutarate aldolase [EC:
K18124	gdh2, gdhA	glucose/galactose 1-dehydrogenase (NADP+) [EC:
K18125	ssgdh	aldose 1-dehydrogenase [NAD(P)+] [EC:
K18126	sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:
K18127	kdgA	2-dehydro-3-deoxy-D-gluconate aldolase [EC:
K18128	gadh	D-glyceraldehyde dehydrogenase (NADP+) [EC:
K18129	mexZ	TetR/AcrR family transcriptional regulator, mexXY operon repressor
K18130	nalC	TetR/AcrR family transcriptional regulator, transcriptional repressor NalC
K18131	mexR	MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon
K18132	K18132, porA	major outer membrane protein P.IA
K18133	K18133, porB	major outer membrane protein P.IB
K18134	EOGT	protein O-GlcNAc transferase [EC:
K18135	nalD	TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon
K18136	acrR	TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
K18137	adeN	TetR/AcrR family transcriptional regulator, repressor of the adeIJK operon
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB	multidrug efflux pump
K18139	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC	outer membrane protein, multidrug efflux system
K18140	envR, acrS	TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor
K18141	acrE	membrane fusion protein, multidrug efflux system
K18142	acrF	multidrug efflux pump
K18143	adeS	two-component system, OmpR family, sensor histidine kinase AdeS [EC:
K18144	adeR	two-component system, OmpR family, response regulator AdeR
K18145	adeA	membrane fusion protein, multidrug efflux system
K18146	adeB	multidrug efflux pump
K18147	adeC	outer membrane protein, multidrug efflux system
K18148	rtcB	release factor H-coupled RctB family protein
K18149	pbp5, pbp4, pbp3	penicillin-binding protein
K18150	armR	antirepressor for MexR
K18151	UAH	ureidoglycolate amidohydrolase [EC:
K18152	BST1	ADP-ribosyl cyclase 2 [EC:
K18153	nga	NAD+ glycohydrolase [EC:
K18154	RGS2	regulator of G-protein signaling 2
K18155	AEP3	ATPase expression protein 3, mitochondrial
K18156	ATP23	mitochondrial inner membrane protease ATP23 [EC:3.4.24.-]
K18157	TMEM126A	transmembrane protein 126A
K18158	NCA2	nuclear control of ATPase protein 2
K18159	NDUFAF1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1
K18160	NDUFAF2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
K18161	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
K18162	NDUFAF5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
K18163	NDUFAF6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6
K18164	NDUFAF7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7
K18165	TMEM126B	complex I assembly factor TMEM126B
K18166	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1
K18167	SDHAF1	succinate dehydrogenase assembly factor 1
K18168	SDHAF2	succinate dehydrogenase assembly factor 2
K18169	TTC19	tetratricopeptide repeat protein 19, mitochondrial
K18170	LYRM7	complex III assembly factor LYRM7
K18171	CMC1	COX assembly mitochondrial protein 1
K18172	CMC2	COX assembly mitochondrial protein 2
K18173	COA1	cytochrome c oxidase assembly factor 1
K18174	COA2	cytochrome c oxidase assembly factor 2
K18175	COA3	cytochrome c oxidase assembly factor 3, animal type
K18176	COA3	cytochrome c oxidase assembly factor 3, fungi type
K18177	COA4	cytochrome c oxidase assembly factor 4
K18178	COA5	cytochrome c oxidase assembly factor 5
K18179	COA6	cytochrome c oxidase assembly factor 6
K18180	COA7	cytochrome c oxidase assembly factor 7
K18181	COX14	cytochrome c oxidase assembly factor 14
K18182	COX16	cytochrome c oxidase assembly protein subunit 16
K18183	COX19	cytochrome c oxidase assembly protein subunit 19
K18184	COX20	cytochrome c oxidase assembly protein subunit 20
K18185	COX23	cytochrome c oxidase assembly protein subunit 23
K18186	PET100	protein PET100, animal type
K18187	PET100F	protein PET100, fungi type
K18188	PET117	protein PET117
K18189	TACO1	translational activator of cytochrome c oxidase 1
K18190	FASTKD2	FAST kinase domain-containing protein 2
K18191	FMC1	ATP synthase assembly factor FMC1, mitochondrial
K18192	ATP10	mitochondrial ATPase complex subunit ATP10
K18193	C14orf2	6.8 kDa mitochondrial proteolipid
K18194	USMG5	up-regulated during skeletal muscle growth protein 5
K18195	RGL4, rhiE	rhamnogalacturonan endolyase [EC:
K18196	STIM2	stromal interaction molecule 2
K18197	yesW	rhamnogalacturonan endolyase [EC:
K18198	yesX	rhamnogalacturonan exolyase [EC:
K18199	E4.2.1.103, inhA	cyclohexyl-isocyanide hydratase [EC:
K18200	PAM	peptidylamidoglycolate lyase [EC:
K18201	HYKK	hydroxylysine kinase [EC:
K18202	PHYKPL	5-phosphonooxy-L-lysine phospho-lyase [EC:
K18203	LCMT1	[phosphatase 2A protein]-leucine-carboxy methyltransferase [EC:
K18204	AtD-2HGDH	D-2-hydroxyglutarate dehydrogenase [EC:
K18205	hypBA1	non-reducing end beta-L-arabinofuranosidase [EC:
K18206	hypBA2	beta-L-arabinobiosidase [EC:
K18207	POMGNT2	protein O-mannose beta-1,4-N-acetylglucosaminyltransferase [EC:
K18208	RNLS	renalase [EC:
K18209	tfrA	fumarate reductase (CoM/CoB) subunit A [EC:
K18210	tfrB	fumarate reductase (CoM/CoB) subunit B [EC:
K18211	SNAP25	synaptosomal-associated protein 25
K18212	SNAP47	synaptosomal-associated protein 47
K18213	PRORP	proteinaceous RNase P [EC:
K18214	tetP_A, tet40	MFS transporter, DHA3 family, tetracycline resistance protein
K18215	tetV	MFS transporter, DHA3 family, tetracycline resistance protein
K18216	steA, tetA46	ATP-binding cassette, subfamily B, tetracycline resistant protein
K18217	steB, tetB46	ATP-binding cassette, subfamily B, tetracycline resistant protein
K18218	tet35	tetracycline resistance efflux pump
K18219	txr	sigma-54 dependent transcriptional regulator, tetracycline resistant transcriptional regulator
K18220	tetM, tetO	ribosomal protection tetracycline resistance protein
K18221	tetX	tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:
K18222	ARSE	arylsulfatase E [EC:3.1.6.-]
K18223	prmA	propane 2-monooxygenase large subunit [EC:
K18224	prmC	propane 2-monooxygenase small subunit [EC:
K18225	prmB	propane monooxygenase reductase component [EC:1.18.1.-]
K18226	prmD	propane monooxygenase coupling protein
K18227	cmtAa	p-cumate 2,3-dioxygenase ferredoxin reductase component [EC:
K18228	CYP4A21	taurochenodeoxycholate 6alpha-hydroxylase [EC:
K18229	PAMO	phenylacetone monooxygenase [EC:
K18230	tylC, oleB, carA, srmB	macrolide transport system ATP-binding/permease protein
K18231	msrA, vmlR	macrolide transport system ATP-binding/permease protein
K18232	oleC4	oleandomycin transport system ATP-binding protein
K18233	oleC5	oleandomycin transport system permease protein
K18234	vat	virginiamycin A acetyltransferase [EC:2.3.1.-]
K18235	vgb	virginiamycin B lyase [EC:4.2.99.-]
K18236	lnuB_F, lin	lincosamide nucleotidyltransferase B/F
K18237	K18237	ribose 1,5-bisphosphate isomerase [EC:
K18239	fkbO, rapK	chorismatase [EC:
K18240	XanB2	chorismate lyase / 3-hydroxybenzoate synthase [EC:
K18241	ITM2A	integral membrane protein 2A
K18242	nagG	salicylate 5-hydroxylase large subunit [EC:
K18243	nagH	salicylate 5-hydroxylase small subunit [EC:
K18245	CA2	carbonic anhydrase 2 [EC:
K18246	CA4	carbonic anhydrase 4 [EC:
K18247	DESN	Delta11-fatty-acid desaturase [EC:
K18248	andAb	anthranilate 1,2-dioxygenase ferredoxin component
K18249	andAa	anthranilate 1,2-dioxygenase ferredoxin reductase component [EC:1.18.1.-]
K18250	naaB	5-nitrosalicylate dioxygenase [EC:
K18251	phtAa	phthalate 3,4-dioxygenase subunit alpha [EC:1.14.12.-]
K18252	phtAb	phthalate 3,4-dioxygenase subunit beta [EC:1.14.12.-]
K18253	phtAc	phthalate 3,4-dioxygenase ferredoxin component
K18254	phtAd	phthalate 3,4-dioxygenase ferredoxin reductase component [EC:
K18255	phtB	phthalate 3,4-cis-dihydrodiol dehydrogenase [EC:1.3.1.-]
K18256	phtC	3,4-dihydroxyphthalate decarboxylase [EC:
K18257	phdE	cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase [EC:
K18258	CRYM	thiomorpholine-carboxylate dehydrogenase [EC:
K18259	AMN	protein amnionless
K18260	CC2D1B 	coiled-coil and C2 domain-containing protein 1
K18261	DYSF	dysferlin
K18262	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
K18263	ADGRV1	G-protein coupled receptor 98
K18264	ITM2B	integral membrane protein 2B
K18265	ITM2C	integral membrane protein 2C
K18266	NDRG1	protein NDRG1
K18267	NEB	nebulin
K18268	NPHS2	podocin
K18269	PDCD10	programmed cell death protein 10
K18270	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit
K18271	RBP4	retinol-binding protein 4
K18272	RP2	protein XRP2
K18273	TECTA	alpha-tectorin
K18274	UMOD	uromodulin
K18275	phdK	2-formylbenzoate dehydrogenase [EC:
K18276	hspB	6-hydroxy-3-succinoylpyridine 3-monooxygenase [EC:
K18277	tmm	trimethylamine monooxygenase [EC:
K18278	THI5	pyrimidine precursor biosynthesis enzyme
K18279	FTMPT3	verruculogen prenyltransferase [EC:
K18280	FTMD	6-hydroxytryprostatin B O-methyltransferase [EC:
K18281	FTMA	brevianamide F synthase
K18282	cynD	cyanide dihydratase [EC:3.5.5.-]
K18283	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase [EC:
K18284	K18284	adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:
K18285	mqnE	aminodeoxyfutalosine synthase [EC:
K18286	add	aminodeoxyfutalosine deaminase [EC:
K18287	griI	2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate synthase [EC:
K18288	ict-Y	itaconate CoA-transferase [EC:2.8.3.-]
K18289	ict-P	itaconate CoA-transferase [EC:2.8.3.- 
K18290	ich-Y	itaconyl-CoA hydratase [EC:
K18291	ich-P	itaconyl-CoA hydratase / mesaconyl-C4 CoA hydratase [EC:
K18292	E4.1.3.25	(S)-citramalyl-CoA lyase [EC:
K18293	cymAb	p-cymene monooxygenase electron transfer component [EC:
K18294	nfxB	TetR/AcrR family transcriptional regulator, mexCD-oprJ operon repressor
K18295	mexC	membrane fusion protein, multidrug efflux system
K18296	mexD	multidrug efflux pump
K18297	mexT	LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
K18298	mexE	membrane fusion protein, multidrug efflux system
K18299	mexF	multidrug efflux pump
K18300	oprN	outer membrane protein, multidrug efflux system
K18301	mexL	TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor
K18302	mexJ	membrane fusion protein, multidrug efflux system
K18303	mexK	multidrug efflux pump
K18304	lasR	LuxR family transcriptional regulator, quorum-sensing system regulator LasR
K18305	mexG	transmembrane protein
K18306	mexH	membrane fusion protein, multidrug efflux system
K18307	mexI	multidrug efflux pump
K18308	opmD	outer membrane protein, multidrug efflux system
K18309	NAT8L	aspartate N-acetyltransferase [EC:
K18310	RIMKLB	beta-citrylglutamate/N-acetylaspartylglutamate synthase [EC:
K18311	RIMKLA	N-acetylaspartylglutamate/N-acetylaspartylglutamylglutamate synthase [EC:
K18312	styC	styrene-oxide isomerase [EC:
K18313	sct	succinyl-CoA---D-citramalate CoA-transferase [EC:
K18314	E4.1.3.46, ccl	(R)-citramalyl-CoA lyase [EC:
K18315	cpmC, carC	(5R)-carbapenem-3-carboxylate synthase [EC:
K18316	cpmA, carA	carbapenam-3-carboxylate synthase [EC:
K18317	cpmB, carB	carboxymethylproline synthase [EC:
K18318	cpmD, carD	carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]
K18319	cpmE, carE	carbapenem biosynthesis protein CpmE
K18320	IS15, IS26	transposase, IS6 family
K18321	smeA	membrane fusion protein, multidrug efflux system
K18322	smeB	multidrug efflux pump
K18323	smeC	outer membrane protein, multidrug efflux system
K18324	acrD	multidrug efflux pump
K18325	ramA	AraC family of transcriptional regulator, multidrug resistance transcriptional activator
K18326	mdtD	MFS transporter, DHA2 family, multidrug resistance protein
K18327	REXO4	RNA exonuclease 4 [EC:3.1.-.-]
K18328	DBR1	lariat debranching enzyme [EC:3.1.-.-]
K18329	ISG20L2	interferon-stimulated 20 kDa exonuclease-like 2 [EC:3.1.-.-]
K18330	hndA	NADP-reducing hydrogenase subunit HndA [EC:
K18331	hndC	NADP-reducing hydrogenase subunit HndC [EC:
K18332	hndD	NADP-reducing hydrogenase subunit HndD [EC:
K18333	K18333	L-fucose dehydrogenase
K18334	ENOSF1	L-fuconate dehydratase [EC:
K18335	K18335	2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
K18336	K18336	2,4-diketo-3-deoxy-L-fuconate hydrolase [EC:3.7.1.-]
K18337	LRA1	L-rhamnose 1-dehydrogenase [EC:
K18338	LRA2	L-rhamnono-1,4-lactonase [EC:
K18339	LRA4	2-keto-3-deoxy-L-rhamnonate aldolase [EC:
K18340	AEN	apoptosis-enhancing nuclease [EC:3.1.-.-]
K18341	TBC1D1	TBC1 domain family member 1
K18342	OTUD6A 	OTU domain-containing protein 6 [EC:
K18343	OTULIN	ubiquitin thioesterase otulin [EC:
K18344	vanRB, vanR, vanRD	two-component system, OmpR family, response regulator VanR
K18345	vanSB, vanS, vanSD	two-component system, OmpR family, sensor histidine kinase VanS [EC:
K18346	vanW	vancomycin resistance protein VanW
K18347	vanH	D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]
K18348	vanT	serine/alanine racemase [EC:
K18349	vanRC, vanRE, vanRG	two-component system, OmpR family, response regulator VanR
K18350	vanSC, vanSE, vanSG	two-component system, OmpR family, sensor histidine kinase VanS [EC:
K18351	vanSAc	two-component system, OmpR family, sensor histidine kinase VanS [EC:
K18352	vanRAc	two-component system, OmpR family, response regulator VanR
K18353	vanJ	vancomycin resistance protein VanJ
K18354	vanK	vancomycin resistance protein VanK
K18355	padG	phenylglyoxylate dehydrogenase alpha subunit [EC:
K18356	padI	phenylglyoxylate dehydrogenase beta subunit [EC:
K18357	padE	phenylglyoxylate dehydrogenase gamma subunit [EC:
K18358	padF	phenylglyoxylate dehydrogenase delta subunit [EC:
K18359	padH	phenylglyoxylate dehydrogenase epsilon subunit [EC:
K18360	padA	phenylacetyl-CoA:acceptor oxidoreductase accessory protein
K18361	padB	phenylacetyl-CoA:acceptor oxidoreductase [EC:
K18362	padC	phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit
K18363	padD	phenylacetyl-CoA:acceptor oxidoreductase 26-kDa subunit
K18364	bphH, xylJ, tesE	2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:
K18365	bphI, xylK, nahM, tesG	4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase [EC:
K18366	bphJ, xylQ, nahO, tesF	acetaldehyde/propanal dehydrogenase [EC:
K18368	CSE	caffeoylshikimate esterase [EC:3.1.1.-]
K18369	adh2	alcohol dehydrogenase [EC:1.1.1.-]
K18370	adh3	alcohol dehydrogenase [EC:1.1.1.-]
K18371	acmA	acetone monooxygenase (methyl acetate-forming) [EC:
K18372	acmB	methyl acetate hydrolase [EC:3.1.1.-]
K18373	hrpB1	type III secretion protein HrpB1
K18374	hrpB2	type III secretion inner rod protein HrpB2
K18375	hrpE	type III secretion hrp pilus HrpE
K18376	hrpF	type III secretion translocon protein HrpF
K18377	hpa2	lysozyme-related protein Hpa2
K18378	hpa1	type III secretion harpin protein Hpa1
K18379	hpaA	type III secretion regulatory protein HpaA
K18380	hpaB	type III secretion control protein HpaB
K18381	hpaC	type III secretion control protein HpaP
K18382	adh1	NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]
K18383	K18383	trans-feruloyl-CoA hydratase / vanillin synthase [EC:
K18384	L3HYPDH	trans-L-3-hydroxyproline dehydratase [EC:
K18385	PAXC, ATMC, LTMC	geranylgeranyldiphosphate transferase
K18386	PAXM, ATMM, LTMM	FAD dependent monooxygenase [EC:1.14.13.-]
K18387	PAXB, ATMB, LTMB	paspaline synthase
K18388	PAXP, ATMP, CYP653C	cytochrome P450 monooxygenase [EC:1.14.13.-]
K18389	PAXQ, ATMQ, CYP698A	cytochrome P450 monooxygenase [EC:1.14.13.-]
K18390	PAXD	dimethylallyldiphosphate transferase
K18391	ATMD	dimethylallyldiphosphate transferase [EC:2.5.1.-]
K18392	LTMP, TERP	cytochrome P450 monooxygenase [EC:1.14.13.-]
K18393	LTMQ, TERQ	cytochrome P450 monooxygenase [EC:1.14.13.-]
K18394	LTME	dimethylallyldiphosphate transferase
K18395	LTMJ	cytochrome P450 monooxygenase [EC:1.14.13.-]
K18396	LTMF	dimethylallyldiphosphate transferase [EC:2.5.1.-]
K18397	LTMK	cytochrome P450 monooxygenase [EC:1.14.21.-]
K18398	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
K18399	BPHL	valacyclovir hydrolase [EC:3.1.-.-]
K18400	KANSL1	KAT8 regulatory NSL complex subunit 1
K18401	KANSL2	KAT8 regulatory NSL complex subunit 2
K18402	PHF20L1 	PHD finger protein 20
K18403	MSL3	male-specific lethal 3
K18404	TDRD3	tudor domain-containing protein 3
K18405	TDRD15 	tudor domain-containing protein 1/4/6/7
K18406	TDRKH	tudor domain-containing protein 2
K18407	TDRD5	tudor domain-containing protein 5
K18408	TDRD9	ATP-dependent RNA helicase TDRD9 [EC:
K18409	TDRD12	ATP-dependent RNA helicase TDRD12 [EC:
K18410	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1
K18411	MAEL	protein maelstrom
K18412	TNRC6B 	trinucleotide repeat-containing gene 6 protein
K18413	KRIMP	krimper
K18414	SQU	squash
K18415	VRET	vreteno
K18416	ERI1	3'-5' exoribonuclease 1 [EC:3.1.-.-]
K18417	ERI2	ERI1 exoribonuclease 2 [EC:3.1.-.-]
K18418	ERI3	ERI1 exoribonuclease 3 [EC:3.1.-.-]
K18419	DGCR8	microprocessor complex subunit DGCR8
K18420	TARBP2	RISC-loading complex subunit TARBP2
K18421	R2D2	R2D2
K18422	MOV10	helicase MOV-10 [EC:
K18423	CSE1L	exportin-2 (importin alpha re-exporter)
K18424	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase family member 4 [EC:
K18425	dhaa	3-hydroxy-D-aspartate aldolase [EC:
K18426	ECHDC1	ethylmalonyl-CoA/methylmalonyl-CoA decarboxylase [EC:
K18427	hpdB	4-hydroxyphenylacetate decarboxylase large subunit [EC:
K18428	hpdC	4-hydroxyphenylacetate decarboxylase small subunit [EC:
K18429	legG, neuC2	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:
K18430	legI, neuB2	N,N'-diacetyllegionaminate synthase [EC:
K18431	legF, ptmB	CMP-N,N'-diacetyllegionaminic acid synthase [EC:
K18432	ARMI	RNA helicase armi [EC:
K18433	virD1	type IV secretion system T-DNA border endonuclease VirD1
K18434	virD2	type IV secretion system T-DNA border endonuclease VirD2
K18435	SOX9	transcription factor SOX9 (SOX group E)
K18436	PDE7B 	high affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7 [EC:
K18437	PDE8A 	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8 [EC:
K18438	PDE10A	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:
K18439	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1
K18440	ARAP2	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2
K18441	CYTH4 	cytohesin
K18442	ARFGEF2 	brefeldin A-inhibited guanine nucleotide-exchange protein
K18443	GBF1	golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
K18444	rrp1	two-component system, glycerol uptake and utilization response regulator
K18445	ndx1	diadenosine hexaphosphate hydrolase (ATP-forming) [EC:
K18446	ygiF	triphosphatase [EC:
K18447	NUDX14	ADP-sugar diphosphatase [EC:
K18448	BNIPL 	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
K18449	PRUNE2	prune homolog 2
K18450	ATCAY	caytaxin
K18451	BCL2L10	Bcl-2-like protein 10
K18452	BIK	Bcl-2-interacting killer
K18453	NUDT23	ADP-ribose/FAD diphosphatase [EC:
K18454	deaA	chitin disaccharide deacetylase [EC:
K18455	mca	mycothiol S-conjugate amidase [EC:
K18456	E3.5.4.32	8-oxoguanine deaminase [EC:
K18457	laaA	L-proline amide hydrolase [EC:
K18458	ACY3	N-acyl-aromatic-L-amino acid amidohydrolase [EC:
K18459	gpuA	guanidinopropionase [EC:
K18460	XPO7	exportin-7
K18461	WASHC1	WAS protein family homolog 1
K18462	WASHC2C 	WASH complex subunit FAM21
K18463	WASHC3	WASH complex subunit CCDC53
K18464	WASHC5	WASH complex subunit strumpellin
K18465	WASHC4	WASH complex subunit 7
K18466	VPS26B 	vacuolar protein sorting-associated protein 26
K18467	VPS29	vacuolar protein sorting-associated protein 29
K18468	VPS35	vacuolar protein sorting-associated protein 35
K18469	TBC1D5	TBC1 domain family member 5
K18470	ARHGAP1	Rho GTPase-activating protein 1
K18471	ydjG	methylglyoxal reductase [EC:1.1.1.-]
K18472	accD6	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:
K18473	fabY	acetoacetyl-[acyl-carrier protein] synthase [EC:
K18474	fabM	trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:
K18475	fliB	lysine-N-methylase [EC:2.1.1.-]
K18476	tetR	TetR/AcrR family transcriptional regulator, tetracycline repressor protein
K18477	RMT2	type IV protein arginine methyltransferase [EC:
K18478	yihV	sulfofructose kinase [EC:
K18479	yihS	sulfoquinovose isomerase [EC:
K18480	linN	cholesterol transport system auxiliary component
K18481	mas	Mce-associated membrane protein
K18482	ADCL	4-amino-4-deoxychorismate lyase [EC:
K18483	MYOG	myogenic factor 4 (myogenin)
K18484	MYF5	myogenic factor 5
K18485	MYF6	myogenic factor 6
K18486	HAND2	heart-and neural crest derivatives-expressed protein 2
K18487	ZIC3	zinc finger protein ZIC 3
K18488	DLX2	homeobox protein DLX2
K18489	DLX5	homeobox protein DLX5
K18490	OTX2	homeobox protein OTX2
K18491	ESX1	homeobox protein ESX1
K18492	ISL2	insulin gene enhancer protein ISL-2
K18493	LHX5	LIM homeobox protein 5
K18494	SETDB2	histone-lysine N-methyltransferase SETDB2 [EC:
K18495	FTMT	ferritin, mitochondrial
K18496	FGF1	fibroblast growth factor 1
K18497	FGF2	fibroblast growth factor 2
K18498	DUSP9	dual specificity phosphatase 9 [EC:
K18499	SKIL	Ski-like protein
K18502	dsrA	small regulatory RNA DsrA
K18503	chiX, sroB	small regulatory RNA ChiX
K18504	arcZ	small regulatory RNA ArcZ
K18505	glmZ	small regulatory RNA GlmZ
K18506	sgrS	small regulatory RNA SgrS
K18507	ryhB	small regulatory RNA RyhB
K18508	rybB	small regulatory RNA RybB
K18509	rydC	small regulatory RNA RydC
K18510	fnrS	small regulatory RNA FnrS
K18511	micA	small regulatory RNA MicA
K18512	micC	small regulatory RNA MicC
K18513	micF	small regulatory RNA MicF
K18514	mgrR	small regulatory RNA MgrR
K18515	csrB	small regulatory RNA CsrB
K18516	csrC	small regulatory RNA CsrC
K18517	dicF	small regulatory RNA DicF
K18518	rprA	small regulatory RNA RprA
K18519	rseX	small regulatory RNA RseX
K18520	cyaR, ryeE	small regulatory RNA CyaR
K18521	gcvB	small regulatory RNA GcvB
K18522	omrA, rygA	small regulatory RNA OmrA
K18523	omrB, rygB	small regulatory RNA OmrB
K18524	symR	sRNA antisense regulator of SymE protein
K18525	gadY	small regulatory RNA GadY
K18526	istR	sRNA antisense regulator of TisB protein
K18527	spf	small regulatory RNA Spot 42
K18528	oxyS	small regulatory RNA OxyS
K18529	KSR2	kinase suppressor of Ras 2 [EC:
K18530	frvX	putative aminopeptidase FrvX [EC:3.4.11.-]
K18531	frvR	putative frv operon regulatory protein
K18532	AK6	adenylate kinase [EC:
K18533	AK9	adenylate/nucleoside-diphosphate kinase [EC:
K18534	K18534	MPBQ/MSBQ methyltransferase [EC:
K18535	thnA	putative oxidoreductase
K18536	thnD	putative oxidoreductase
K18537	thnK	putative methyltransferase
K18538	thnN	thienamycin biosynthesis protein ThnN
K18539	thnO	thienamycin biosynthesis protein ThnO
K18540	ramA	(R)-amidase [EC:
